Date,GPRSdown,GPRSup,GPRS_Traffic,Mobile_Tra_flow,mobile_passenger_num
20180521,1508122937,172073804.6,2360069387,1680196742,26896764
20180522,1784388157,206496482.5,2706807472,1990884639,27043985
20180523,1728078167,201395725.5,3115549976,1929473892,27198343
20180524,1714179846,198696135.9,2704163836,1912875982,26965912
20180525,1653114844,188614811.8,2675369819,1841729656,26961821
20180526,1290112301,146001298.1,2645706993,1436113599,25963399
20180527,1248048499,141380730.9,2462067348,1389429230,26333615
20180528,1019573965,116193092.1,1858929122,1135767057,26321215
20180529,1279213861,144962575.2,2242339174,1424176436,26556154
20180530,2230253865,261791837.4,3357107958,2492045703,27225809
20180531,2909387747,320739779,4095387344,3230127526,27263850
20180601,1705501002,198736051.5,3884225251,1904237054,27072020
20180602,1588771446,185868190.9,2770363183,1774639637,26395964
20180603,1483266667,170631220.4,2389440079,1653897887,26070137
20180604,1468231058,171288749.6,2284238190,1639519807,26206293
20180605,1455959043,171747966.8,2423314767,1627707010,26064378
20180606,1489504500,176544616.5,2393411093,1666049117,26214269
20180607,1544058340,178934794.9,2577513730,1722993135,26149028
20180608,1532045871,180962202,2518864215,1713008073,26317920
20180609,1530521418,176279049.7,2414580886,1706800468,25971871
20180610,1410491973,167710043.8,2374064715,1578202017,26035184
20180611,1442005519,173520110.9,2416405686,1615525630,26374574
20180612,1480603319,176453701.6,2425563506,1657057021,26323367
20180613,1418660925,171172999.4,2506788951,1589833925,26387269
20180614,1390847429,169574733.6,2713545463,1560422162,26405507
20180615,1453111043,173165889.7,2661173126,1626276932,26400497
20180616,1527774380,176209616.3,2664102156,1703983996,26181979
20180617,1519204337,178848612.9,2601482956,1698052950,26067795
20180618,1475450024,170463451.7,2514540055,1645913476,26052110
20180619,1368583635,162452361.3,2653137667,1531035996,26317355
20180620,1341018102,157605539.1,3142323048,1498623641,26319860
20180621,1323672569,155754595.7,2758740400,1479427165,26409620
20180622,1272190399,147561625.7,2966797092,1419752025,26288510
20180623,1110343431,128296392.3,2096669491,1238639823,26447162.85
20180624,1173577343,128457343.7,1932267351,1302034686,26607648.54
20180625,1339897407,160301325.4,2399205439,1500198732,25649473
20180626,1547478360,181206721,3777376072,1728685081,26843369
20180627,1225566922,144252808.9,2757075663,1369819730,25878683
20180628,1333994097,153130879.6,3151098367,1487124977,27067610
20180629,1724208824,202864107.6,5469679354,1927072931,27077059
20180630,2281522361,254025147,4062736212,2535547508,27454551
20180701,1768529623,193861320.4,3789296771,1962390943,27182961
20180702,2018939647,229376557.5,3579329739,2248316205,27584504
20180703,1988098240,223209971.4,3480305452,2211308212,27328221
20180704,2203403376,243045315.9,3703356879,2446448691,27752629
20180705,1645168487,182699050.4,2929398900,1827867538,26249870
20180706,1836043748,208722209.3,3411290679,2044765957,27354206
20180707,1792769384,198256571.5,3267910084,1991025955,26914133
20180708,1549912670,173107979.6,2889764724,1723020650,25911717
20180709,1513351232,177411463.5,2768750270,1690762695,26426530
20180710,1556614752,181044009,2778894843,1737658761,26426067
20180711,1417604105,156704592,2758186212,1574308697,26073321
20180712,1628923382,184046403.6,3595463302,1812969786,26324889
20180713,1833036177,209900610.9,3449475931,2042936788,26722771
20180714,1581187744,180750494.2,2903840077,1761938238,26049867
20180715,1549713589,174439676.7,2769633879,1724153266,25978052
20180716,1661262037,187605143.9,2926690990,1848867181,26267639
20180717,1651103748,182973361.7,2796066273,1834077110,26133723
20180718,1617983449,185014448.4,2771079311,1802997897,26412309
20180719,1640599704,187647218.7,2797778179,1828246922,26327398
20180720,1636462526,189171390,2753688439,1825633915,26407310
